path,line,function,callsite_fingerprint,approved_meaning
src/project/research/global_robustness.py,372,_weight_stability,d91d5ffaaa0e8e666e50,A ticker observed in one scenario has zero observed cross-scenario weight dispersion; the output remains diagnostic rather than promotion evidence.
src/project/research/global_robustness.py,509,_weight_turnover,ed34b5840ae9e0532653,A ticker absent from the current scenario portfolio is an explicit zero position in union-index turnover alignment.
src/project/research/global_robustness.py,509,_weight_turnover,a0e1e8edc07c8f06736c,A ticker absent from the base portfolio is an explicit zero position in union-index turnover alignment.
src/project/research/global_stock_scoring.py,310,_add_composite_score,622d99bf72566afbef60,A non-finite aggregate diagnostic score receives the neutral score zero after component-level controls; history eligibility remains a separate hard gate.
src/project/research/global_stock_scoring.py,513,_robust_z,8b65186f7c49044e459c,A missing diagnostic feature z-score receives a neutral zero only where the separate history-eligibility gate prevents promotion as a standard composite score.
src/project/research/global_stock_scoring.py,514,_robust_z,c1a538c89abe75df223b,A missing diagnostic feature robust z-score receives a neutral zero only where the separate history-eligibility gate prevents standard selection.
src/project/research/global_walk_forward.py,275,run_public_data_walk_forward,e0cc7f61b8c1b36e8639,Test assets not held by the model are structural zero positions; nonzero model tickers missing from returns are rejected by portfolio_return_series.
src/project/research/global_walk_forward.py,724,_two_way_turnover,2a8bd3bd5f6272a37a64,An asset absent from the current target portfolio is an explicit zero holding in union-index gross L1 turnover alignment.
src/project/research/global_walk_forward.py,725,_two_way_turnover,bbc1d42e8c963a87c384,An asset absent from the prior drifted portfolio is an explicit zero holding in union-index gross L1 turnover alignment.
scripts/qa/verify_working_portfolio_core.py,681,_reconstruct_walk_forward,8e76ae731567512165c1,Independent turnover replay aligns an absent current holding to structural zero across the union of portfolio names; selected returns are separately required to be complete.
scripts/qa/verify_working_portfolio_core.py,682,_reconstruct_walk_forward,55acb87cc5fb5823552c,Independent turnover replay aligns an absent prior holding to structural zero across the union of portfolio names; selected returns are separately required to be complete.
scripts/qa/verify_quantverse_reference_math.py,872,_append_walk_forward_reference_checks,7f5512634f7d0d4ec69b,Independent turnover replay aligns an absent current holding to structural zero across the union of portfolio names.
scripts/qa/verify_quantverse_reference_math.py,873,_append_walk_forward_reference_checks,55acb87cc5fb5823552c,Independent turnover replay aligns an absent prior holding to structural zero across the union of portfolio names.
scripts/qa/verify_quantverse_reference_math.py,1268,_append_random_benchmark_reference_checks,55acb87cc5fb5823552c,Independent random-benchmark replay aligns an absent prior holding to structural zero across the union of portfolio names.
scripts/qa/verify_quantverse_reference_math.py,1269,_append_random_benchmark_reference_checks,e5babb3998bc64676ebe,Stored pre-trade random weights omit non-held names and therefore align them to structural zero for exact replay.
scripts/qa/verify_quantverse_reference_math.py,1302,_append_random_benchmark_reference_checks,8e76ae731567512165c1,Independent random target weights omit non-held names and therefore align them to structural zero for exact turnover replay.
scripts/qa/verify_quantverse_reference_math.py,1303,_append_random_benchmark_reference_checks,55acb87cc5fb5823552c,Independent random prior weights omit non-held names and therefore align them to structural zero for exact turnover replay.
scripts/qa/verify_quantverse_reference_math.py,1337,_append_random_benchmark_reference_checks,f3544815bf0061596c0c,Expected post-test random weights omit non-held names and therefore align them to structural zero for reconciliation.
scripts/qa/verify_quantverse_reference_math.py,1338,_append_random_benchmark_reference_checks,95b5f00356be5bf55ae2,Stored post-test random weights omit non-held names and therefore align them to structural zero for reconciliation.
